movie_name,release_year,runtime,genre,rating,director,cast_1,cast_2,cast_3,cast_4,votes,gross
Nebraska,(2013),115 min,"
Drama            ","

7.7
",Alexander Payne,Bruce Dern,Will Forte,June Squibb,Bob Odenkirk,"121,107",$17.65M
Nefes: Vatan Sagolsun,(2009),128 min,"
Action, Drama, Thriller            ","

8.0
",Levent Semerci,Mete Horozoglu,Ilker Kizmaz,Birce Akalay,Ibrahim Akoz,"34,657",NaN
Network,(1976),121 min,"
Drama            ","

8.1
",Sidney Lumet,Faye Dunaway,William Holden,Peter Finch,Robert Duvall,"165,873",#222
Night of the Living Dead,(1968),96 min,"
Horror, Thriller            ","

7.8
",George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,"134,954",$0.09M
Night on Earth,(1991),129 min,"
Comedy, Drama            ","

7.7
",Jim Jarmusch,Winona Ryder,Gena Rowlands,Lisanne Falk,Alan Randolph Scott,"64,074",$2.02M
Nightcrawler,(2014),117 min,"
Crime, Drama, Thriller            ","

7.8
",Dan Gilroy,Jake Gyllenhaal,Rene Russo,Bill Paxton,Riz Ahmed,"583,312",$32.38M
No Country for Old Men,(2007),122 min,"
Crime, Drama, Thriller            ","

8.2
",Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,"1,023,704",$74.28M
No Man's Land,(I) (2001),98 min,"
Comedy, Drama, War            ","

7.9
",Danis Tanovic,Branko Djuric,Rene Bitorajac,Filip Sovagovic,Georges Siatidis,"48,228",$1.06M
North by Northwest,(1959),136 min,"
Action, Adventure, Mystery            ","

8.3
",Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,"338,869",$13.28M
Nosferatu,(1922),94 min,"
Fantasy, Horror            ","

7.9
",F.W. Murnau,Max Schreck,Alexander Granach,Gustav von Wangenheim,Greta Schröder,"102,272",NaN
Nostalgia,(1983),125 min,"
Drama            ","

7.9
",Andrei Tarkovsky,Oleg Yankovskiy,Erland Josephson,Domiziana Giordano,Patrizia Terreno,"29,079",$0.01M
Notorious,(1946),102 min,"
Drama, Film-Noir, Romance            ","

7.9
",Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern,"104,951",$10.46M
Nueve reinas,(2000),114 min,"
Crime, Drama, Thriller            ","

7.9
",Fabián Bielinsky,Ricardo Darín,Gastón Pauls,Graciela Tenenbaum,María Mercedes Villagra,"55,539",$1.22M
Nuovo Cinema Paradiso,(1988),155 min,"
Drama, Romance            ","

8.5
",Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,"274,045",$11.99M
"O Brother, Where Art Thou?",(2000),107 min,"
Adventure, Comedy, Crime            ","

7.7
",Joel Coen,Ethan Coen,George Clooney,John Turturro,Tim Blake Nelson,"323,792",$45.51M
OMG: Oh My God!,(2012),125 min,"
Comedy, Drama, Fantasy            ","

8.1
",Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Mahesh Manjrekar,"62,944",$0.92M
Ocean's Eleven,(2001),116 min,"
Crime, Thriller            ","

7.7
",Steven Soderbergh,George Clooney,Brad Pitt,Julia Roberts,Matt Damon,"601,909",$183.42M
October Sky,(1999),108 min,"
Biography, Drama, Family            ","

7.8
",Joe Johnston,Jake Gyllenhaal,Chris Cooper,Laura Dern,Chris Owen,"95,787",$32.48M
Office Space,(1999),89 min,"
Comedy            ","

7.6
",Mike Judge,Ron Livingston,Jennifer Aniston,David Herman,Ajay Naidu,"280,222",$10.82M
Sacrifice,(1986),149 min,"
Drama            ","

7.9
",Andrei Tarkovsky,Erland Josephson,Susan Fleetwood,Allan Edwall,Guðrún Gísladóttir,"30,140",$0.30M
Okuribito,(2008),130 min,"
Drama            ","

8.0
",Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki,"54,026",$1.50M
Oldeuboi,(2003),120 min,"
Action, Drama, Mystery            ","

8.4
",Park Chan-wook,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,Kim Byeong-Ok,"611,510",$0.71M
Omoide no Marnie,(2014),103 min,"
Animation, Drama, Family            ","

7.7
",Hiromasa Yonebayashi,Sara Takatsuki,Kasumi Arimura,Nanako Matsushima,Susumu Terajima,"45,071",$0.77M
On the Waterfront,(1954),108 min,"
Crime, Drama, Thriller            ","

8.1
",Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,"160,794",$9.60M
Once,(I) (2007),86 min,"
Drama, Music, Romance            ","

7.8
",John Carney,Glen Hansard,Markéta Irglová,Hugh Walsh,Gerard Hendrick,"119,640",$9.44M
Once Upon a Time in America,(1984),229 min,"
Crime, Drama            ","

8.3
",Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,"367,041",$5.32M
Once Upon a Time in... Hollywood,(2019),161 min,"
Comedy, Drama            ","

7.6
",Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,"801,566",$142.50M
Once Were Warriors,(1994),102 min,"
Crime, Drama            ","

7.9
",Lee Tamahori,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga,"36,035",$2.20M
Ondskan,(2003),113 min,"
Drama            ","

7.7
",Mikael Håfström,Andreas Wilson,Henrik Lundström,Gustaf Skarsgård,Linda Zilliacus,"40,668",$0.02M
One Flew Over the Cuckoo's Nest,(1975),133 min,"
Drama            ","

8.7
",Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,"1,044,345",$112.00M
Oppenheimer,(2023),180 min,"
Biography, Drama, History            ","

8.6
",Christopher Nolan,Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,"444,757",#43
Ordinary People,(1980),124 min,"
Drama            ","

7.7
",Robert Redford,Donald Sutherland,Mary Tyler Moore,Judd Hirsch,Timothy Hutton,"55,162",$54.80M
Out of the Past,(1947),97 min,"
Crime, Drama, Film-Noir            ","

8.0
",Jacques Tourneur,Robert Mitchum,Jane Greer,Kirk Douglas,Rhonda Fleming,"39,663",NaN
PK,(2014),153 min,"
Comedy, Drama, Sci-Fi            ","

8.1
",Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,"195,906",$10.62M
Paan Singh Tomar,(2012),135 min,"
Action, Biography, Crime            ","

8.2
",Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,"37,370",$0.04M
Paddington 2,(2017),103 min,"
Adventure, Comedy, Family            ","

7.8
",Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,"87,533",$40.44M
Padman,(2018),140 min,"
Comedy, Drama            ","

7.9
",R. Balki,Akshay Kumar,Radhika Apte,Sonam Kapoor,Jyoti Subhash,"27,743",$1.66M
Paper Moon,(1973),102 min,"
Comedy, Crime, Drama            ","

8.1
",Peter Bogdanovich,Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman,"50,788",$30.93M
Papillon,(1973),151 min,"
Biography, Crime, Drama            ","

8.0
",Franklin J. Schaffner,Steve McQueen,Dustin Hoffman,Victor Jory,Don Gordon,"135,780",$53.27M
Paprika,(2006),90 min,"
Animation, Drama, Fantasy            ","

7.7
",Satoshi Kon,Megumi Hayashibara,Tôru Emori,Katsunosuke Hori,Tôru Furuya,"91,122",$0.88M
"Paris, Texas",(1984),145 min,"
Drama            ","

8.1
",Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Sam Berry,"113,328",$2.18M
Past Lives,(2023),105 min,"
Drama, Romance            ","

8.1
",Celine Song,Greta Lee,Teo Yoo,John Magaro,Moon Seung-ah,"25,963",NaN
Pather Panchali,(1955),125 min,"
Drama            ","

8.2
",Satyajit Ray,Kanu Bannerjee,Karuna Bannerjee,Subir Banerjee,Chunibala Devi,"36,348",$0.54M
Paths of Glory,(1957),88 min,"
Drama, War            ","

8.4
",Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,"206,288",#62
Patton,(1970),172 min,"
Biography, Drama, War            ","

7.9
",Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong,"106,115",$61.70M
Per qualche dollaro in più,(1965),132 min,"
Drama, Western            ","

8.2
",Sergio Leone,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,Mara Krupp,"267,317",$15.00M
Per un pugno di dollari,(1964),99 min,"
Action, Drama, Western            ","

7.9
",Sergio Leone,Clint Eastwood,Gian Maria Volontè,Marianne Koch,Wolfgang Lukschy,"226,718",$14.50M
Perfetti sconosciuti,(2016),96 min,"
Comedy, Drama            ","

7.7
",Paolo Genovese,Giuseppe Battiston,Anna Foglietta,Marco Giallini,Edoardo Leo,"69,238",NaN
Persepolis,(2007),96 min,"
Animation, Biography, Drama            ","

8.0
",Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,Catherine Deneuve,Gena Rowlands,"98,169",$4.45M
Persona,(1966),85 min,"
Drama, Thriller            ","

8.1
",Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,"126,746",#247
Philadelphia,(1993),125 min,"
Drama            ","

7.7
",Jonathan Demme,Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman,"252,369",$77.32M
Philomena,(2013),98 min,"
Biography, Comedy, Drama            ","

7.6
",Stephen Frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,"102,667",$37.71M
Pink,(III) (2016),136 min,"
Crime, Drama, Thriller            ","

8.1
",Aniruddha Roy Chowdhury,Amitabh Bachchan,Taapsee Pannu,Kirti Kulhari,Andrea Tariang,"47,039",$1.24M
Pink Floyd: The Wall,(1982),95 min,"
Drama, Fantasy, Music            ","

8.0
",Alan Parker,Bob Geldof,Christine Hargreaves,James Laurenson,Eleanor David,"83,842",$22.24M
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,"
Action, Adventure, Fantasy            ","

8.1
",Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,"1,175,162",$305.41M
Planet of the Apes,(1968),112 min,"
Adventure, Sci-Fi            ","

8.0
",Franklin J. Schaffner,Charlton Heston,Roddy McDowall,Kim Hunter,Maurice Evans,"187,798",$33.40M
Platoon,(1986),120 min,"
Drama, War            ","

8.1
",Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,"428,809",$138.53M
Portrait de la jeune fille en feu,(2019),122 min,"
Drama, Romance            ","

8.1
",Céline Sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,"102,746",$3.76M
Predator,(1987),107 min,"
Action, Adventure, Horror            ","

7.8
",John McTiernan,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo,"441,429",$59.74M
Pride,(I) (2014),119 min,"
Biography, Comedy, Drama            ","

7.8
",Matthew Warchus,Bill Nighy,Imelda Staunton,Dominic West,Paddy Considine,"60,395",NaN
Pride & Prejudice,(2005),129 min,"
Drama, Romance            ","

7.8
",Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Donald Sutherland,"317,242",$38.41M
Primal Fear,(1996),129 min,"
Crime, Drama, Mystery            ","

7.7
",Gregory Hoblit,Richard Gere,Laura Linney,Edward Norton,John Mahoney,"238,593",$56.12M
Prisoners,(2013),153 min,"
Crime, Drama, Mystery            ","

8.1
",Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo,"771,347",$61.00M
Psycho,(1960),109 min,"
Horror, Mystery, Thriller            ","

8.5
",Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,"699,238",$32.00M
Pulp Fiction,(1994),154 min,"
Crime, Drama            ","

8.9
",Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,"2,149,037",$107.93M
Puss in Boots: The Last Wish,(2022),102 min,"
Animation, Adventure, Comedy            ","

7.8
",Joel Crawford,Januel Mercado,Antonio Banderas,Salma Hayek,Harvey Guillén,"155,429",$168.46M
Pâfekuto burû,(1997),81 min,"
Animation, Crime, Drama            ","

8.0
",Satoshi Kon,Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,Masaaki Ôkura,"88,011",$0.78M
Queen,(2013),146 min,"
Adventure, Comedy, Drama            ","

8.1
",Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho,"67,534",$1.43M
"Quo vadis, Aida?",(2020),101 min,"
Drama, History, War            ","

8.0
",Jasmila Zbanic,Jasna Djuricic,Izudin Bajrovic,Boris Ler,Dino Bajrovic,"36,769",NaN
RRR (Rise Roar Revolt),(2022),187 min,"
Action, Drama            ","

7.8
",S.S. Rajamouli,N.T. Rama Rao Jr.,Ram Charan,Ajay Devgn,Alia Bhatt,"157,087",$14.50M
Raging Bull,(1980),129 min,"
Biography, Drama, Sport            ","

8.1
",Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,"369,396",$23.38M
Raiders of the Lost Ark,(1981),115 min,"
Action, Adventure            ","

8.4
",Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,"1,013,894",$248.16M
Rain Man,(1988),133 min,"
Drama            ","

8.0
",Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen,"534,023",$178.80M
Ran,(1985),162 min,"
Action, Drama, War            ","

8.2
",Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,"132,007",$4.14M
Rang De Basanti,(2006),167 min,"
Comedy, Crime, Drama            ","

8.1
",Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth,Sharman Joshi,"121,247",$2.20M
Rangasthalam,(2018),170 min,"
Action, Drama            ","

8.2
",Sukumar,Ram Charan,Samantha Ruth Prabhu,Aadhi,Jagapathi Babu,"26,666",$3.51M
Rashômon,(1950),88 min,"
Crime, Drama, Mystery            ","

8.2
",Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura,"175,648",$0.10M
Ratatouille,(2007),111 min,"
Animation, Adventure, Comedy            ","

8.1
",Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt,"788,787",$206.45M
Ratsasan,(2018),170 min,"
Action, Crime, Drama            ","

8.3
",Ram Kumar,Vishnu Vishal,Amala Paul,Radha Ravi,Sangili Murugan,"48,272",NaN
Ray,(I) (2004),152 min,"
Biography, Drama, Music            ","

7.7
",Taylor Hackford,Jamie Foxx,Regina King,Kerry Washington,Clifton Powell,"154,256",$75.33M
Rear Window,(1954),112 min,"
Mystery, Thriller            ","

8.5
",Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,"509,345",$36.76M
Rebecca,(1940),130 min,"
Drama, Film-Noir, Mystery            ","

8.1
",Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,"143,066",$4.36M
Rebel Without a Cause,(1955),111 min,"
Drama            ","

7.6
",Nicholas Ray,James Dean,Natalie Wood,Sal Mineo,Jim Backus,"95,681",NaN
Red River,(1948),133 min,"
Drama, Western            ","

7.8
",Howard Hawks,Arthur Rosson,John Wayne,Montgomery Clift,Joanne Dru,"33,220",NaN
Relatos salvajes,(2014),122 min,"
Comedy, Drama, Thriller            ","

8.1
",Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,"209,617",$3.11M
Remember the Titans,(2000),113 min,"
Biography, Drama, Sport            ","

7.8
",Boaz Yakin,Denzel Washington,Will Patton,Wood Harris,Ryan Hurst,"226,087",$115.65M
Requiem for a Dream,(2000),102 min,"
Drama            ","

8.3
",Darren Aronofsky,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,"875,604",$3.64M
Reservoir Dogs,(1992),99 min,"
Crime, Thriller            ","

8.3
",Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn,"1,060,100",$2.83M
Rio Bravo,(1959),141 min,"
Drama, Western            ","

8.0
",Howard Hawks,John Wayne,Dean Martin,Ricky Nelson,Angie Dickinson,"66,354",$12.54M
Road to Perdition,(2002),117 min,"
Crime, Drama, Thriller            ","

7.7
",Sam Mendes,Tom Hanks,Tyler Hoechlin,Rob Maxey,Liam Aiken,"278,908",$104.45M
RoboCop,(1987),102 min,"
Action, Crime, Sci-Fi            ","

7.6
",Paul Verhoeven,Peter Weller,Nancy Allen,Dan O'Herlihy,Ronny Cox,"272,380",$53.42M
Rocketry: The Nambi Effect,(2022),157 min,"
Biography, Drama            ","

8.7
",Madhavan,Madhavan,Simran,Rajit Kapoor,Ravi Raghavendra,"55,499",NaN
Rocky,(1976),120 min,"
Drama, Sport            ","

8.1
",John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,"610,240",$117.24M
Rogue One,(2016),133 min,"
Action, Adventure, Sci-Fi            ","

7.8
",Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,"667,977",$532.18M
Roma,(2018),135 min,"
Drama            ","

7.7
",Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Diego Cortina Autrey,Carlos Peralta,"165,888",NaN
Roma città aperta,(1945),103 min,"
Drama, Thriller, War            ","

8.0
",Roberto Rossellini,Anna Magnani,Aldo Fabrizi,Marcello Pagliero,Vito Annichiarico,"28,132",NaN
Roman Holiday,(1953),118 min,"
Comedy, Romance            ","

8.0
",William Wyler,Gregory Peck,Audrey Hepburn,Eddie Albert,Hartley Power,"144,364",NaN
Room,(I) (2015),118 min,"
Drama, Thriller            ","

8.1
",Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,"438,669",$14.68M
Rope,(1948),80 min,"
Crime, Drama, Mystery            ","

7.9
",Alfred Hitchcock,James Stewart,John Dall,Farley Granger,Dick Hogan,"149,829",NaN
Rosemary's Baby,(1968),137 min,"
Drama, Horror            ","

8.0
",Roman Polanski,Mia Farrow,John Cassavetes,Ruth Gordon,Sidney Blackmer,"227,324",NaN
Rush,(I) (2013),123 min,"
Action, Biography, Drama            ","

8.1
",Ron Howard,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,"499,778",$26.95M
Rushmore,(1998),93 min,"
Comedy, Drama, Romance            ","

7.6
",Wes Anderson,Jason Schwartzman,Bill Murray,Olivia Williams,Seymour Cassel,"194,081",$17.11M
Salinui chueok,(2003),131 min,"
Crime, Drama, Mystery            ","

8.1
",Bong Joon Ho,Song Kang-ho,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song,"203,507",$0.01M
Sardar Udham,(2021),164 min,"
Biography, Crime, Drama            ","

8.4
",Shoojit Sircar,Vicky Kaushal,Shaun Scott,Stephen Hogan,Amol Parashar,"45,248",NaN
Sarfarosh,(1999),174 min,"
Action, Crime, Drama            ","

8.1
",John Mathew Matthan,Naseeruddin Shah,Aamir Khan,Sonali Bendre,Mukesh Rishi,"26,463",NaN
Saving Private Ryan,(1998),169 min,"
Drama, War            ","

8.6
",Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,"1,451,265",$216.54M
Saw,(2004),103 min,"
Horror, Mystery, Thriller            ","

7.6
",James Wan,Cary Elwes,Leigh Whannell,Danny Glover,Ken Leung,"444,980",$56.00M
Scarface,(1983),170 min,"
Crime, Drama            ","

8.3
",Brian De Palma,Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio,"885,493",$45.60M
Scarface,(1932),93 min,"
Action, Crime, Drama            ","

7.7
",Howard Hawks,Richard Rosson,Paul Muni,Ann Dvorak,Karen Morley,"29,474",NaN
Scent of a Woman,(1992),156 min,"
Drama            ","

8.0
",Martin Brest,Al Pacino,Chris O'Donnell,James Rebhorn,Gabrielle Anwar,"317,618",$63.90M
Schindler's List,(1993),195 min,"
Biography, Drama, History            ","

9.0
",Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,"1,408,597",$96.90M
Se7en,(1995),127 min,"
Crime, Drama, Mystery            ","

8.6
",David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,"1,735,372",$100.13M
Searching,(III) (2018),102 min,"
Drama, Mystery, Thriller            ","

7.6
",Aneesh Chaganty,John Cho,Debra Messing,Joseph Lee,Michelle La,"175,855",$26.02M
Secrets & Lies,(1996),136 min,"
Comedy, Drama            ","

8.0
",Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook,"45,919",$13.42M
Sen to Chihiro no kamikakushi,(2001),125 min,"
Animation, Adventure, Family            ","

8.6
",Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,"810,751",$10.06M
Sennen joyû,(2001),87 min,"
Animation, Drama, Fantasy            ","

7.8
",Satoshi Kon,Miyoko Shôji,Shôzô Îzuka,Mami Koyama,Fumiko Orikasa,"30,563",$0.19M
Sense and Sensibility,(1995),136 min,"
Drama, Romance            ","

7.7
",Ang Lee,Emma Thompson,Kate Winslet,James Fleet,Tom Wilkinson,"122,039",$43.18M
Seppuku,(1962),133 min,"
Action, Drama, Mystery            ","

8.6
",Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,"63,890",#46
Serbuan maut,(2011),101 min,"
Action, Crime, Thriller            ","

7.6
",Gareth Evans,Iko Uwais,Ananda George,Ray Sahetapy,Donny Alamsyah,"212,854",$4.11M
Serbuan maut 2: Berandal,(2014),150 min,"
Action, Crime, Thriller            ","

7.9
",Gareth Evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,"128,833",$2.63M
Serenity,(2005),119 min,"
Action, Adventure, Sci-Fi            ","

7.8
",Joss Whedon,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk,"302,256",$25.51M
Serpico,(1973),130 min,"
Biography, Crime, Drama            ","

7.7
",Sidney Lumet,Al Pacino,John Randolph,Jack Kehoe,Biff McGuire,"130,753",$29.80M
Shadow of a Doubt,(1943),108 min,"
Film-Noir, Thriller            ","

7.8
",Alfred Hitchcock,Teresa Wright,Joseph Cotten,Macdonald Carey,Henry Travers,"68,666",NaN
Shaun of the Dead,(2004),99 min,"
Comedy, Horror            ","

7.9
",Edgar Wright,Simon Pegg,Nick Frost,Kate Ashfield,Lucy Davis,"579,405",$13.54M
Sherlock Jr.,(1924),45 min,"
Action, Comedy, Romance            ","

8.2
",Buster Keaton,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,"54,187",$0.98M
Shershaah,(2021),135 min,"
Action, Biography, Drama            ","

8.3
",Vishnuvardhan,Sidharth Malhotra,Kiara Advani,Shiv Panditt,Pranay Pachauri,"126,582",NaN
Shichinin no samurai,(1954),207 min,"
Action, Drama            ","

8.6
",Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,"358,259",$0.27M
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),87 min,"
Animation, Action, Drama            ","

8.1
",Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,"60,605",NaN
Shine,(1996),105 min,"
Biography, Drama, Music            ","

7.6
",Scott Hicks,Geoffrey Rush,Armin Mueller-Stahl,Justin Braine,Sonia Todd,"55,797",$35.81M
Sholay,(1975),204 min,"
Action, Adventure, Comedy            ","

8.1
",Ramesh Sippy,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,"57,743",NaN
Short Cuts,(1993),188 min,"
Comedy, Drama            ","

7.7
",Robert Altman,Andie MacDowell,Julianne Moore,Tim Robbins,Bruce Davison,"46,586",$6.11M
Short Term 12,(2013),96 min,"
Drama            ","

7.9
",Destin Daniel Cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever,"90,401",$1.01M
Shrek,(2001),90 min,"
Animation, Adventure, Comedy            ","

7.9
",Andrew Adamson,Vicky Jenson,Mike Myers,Eddie Murphy,Cameron Diaz,"711,489",$267.67M
Shutter Island,(2010),138 min,"
Mystery, Thriller            ","

8.2
",Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,"1,397,116",$128.01M
Sicario,(2015),121 min,"
Action, Crime, Drama            ","

7.7
",Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,"455,251",$46.89M
Silver Linings Playbook,(2012),122 min,"
Comedy, Drama, Romance            ","

7.7
",David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,"729,261",$132.09M
Sin City,(2005),124 min,"
Crime, Thriller            ","

8.0
",Frank Miller,Quentin Tarantino,Robert Rodriguez,Mickey Rourke,Clive Owen,"784,537",$74.10M
Sing Street,(2016),106 min,"
Comedy, Drama, Music            ","

7.9
",John Carney,Ferdia Walsh-Peelo,Aidan Gillen,Maria Doyle Kennedy,Jack Reynor,"98,495",$3.24M
Singin' in the Rain,(1952),103 min,"
Comedy, Musical, Romance            ","

8.3
",Stanley Donen,Gene Kelly,Gene Kelly,Donald O'Connor,Debbie Reynolds,"253,430",$8.82M
Sita Ramam,(2022),163 min,"
Action, Drama, Mystery            ","

8.6
",Hanu Raghavapudi,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth,"63,096",NaN
Skyfall,(2012),143 min,"
Action, Adventure, Thriller            ","

7.8
",Sam Mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,"717,337",$304.36M
Sleuth,(1972),138 min,"
Mystery, Thriller            ","

8.0
",Joseph L. Mankiewicz,Laurence Olivier,Michael Caine,Alec Cawthorne,John Matthews,"49,295",$4.08M
Sling Blade,(1996),135 min,"
Drama            ","

8.0
",Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter,"97,054",$24.48M
Slumdog Millionaire,(2008),120 min,"
Crime, Drama, Romance            ","

8.0
",Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,"865,431",$141.32M
Smultronstället,(1957),91 min,"
Drama, Romance            ","

8.1
",Ingmar Bergman,Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand,"111,971",#194
Snatch,(2000),104 min,"
Comedy, Crime            ","

8.2
",Guy Ritchie,Jason Statham,Brad Pitt,Stephen Graham,Vinnie Jones,"886,989",$30.33M
Snow White and the Seven Dwarfs,(1937),83 min,"
Animation, Adventure, Family            ","

7.6
",William Cottrell,David Hand,Wilfred Jackson,Larry Morey,Perce Pearce,"209,983",$184.93M
Solaris,(1972),167 min,"
Drama, Mystery, Sci-Fi            ","

8.0
",Andrei Tarkovsky,Natalya Bondarchuk,Donatas Banionis,Jüri Järvet,Vladislav Dvorzhetskiy,"95,815",NaN
Some Like It Hot,(1959),121 min,"
Comedy, Music, Romance            ","

8.2
",Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,"277,089",$25.00M
Song of the Sea,(2014),93 min,"
Animation, Adventure, Drama            ","

8.0
",Tomm Moore,David Rawle,Brendan Gleeson,Lisa Hannigan,Fionnula Flanagan,"61,608",$0.86M
Soorarai Pottru,(2020),153 min,"
Action, Drama            ","

8.7
",Sudha Kongara,Suriya,Paresh Rawal,Aparna Balamurali,Kaali Venkat,"120,934",NaN
